,incomes,costs,profit
0,3451.145494480783,0,3451.145494480783
1,5808.288139123334,0,5808.288139123334
2,5808.288139123334,0,5808.288139123334
3,6293.688139123334,0,6293.688139123334
4,6381.7886694785675,0,6381.7886694785675
5,6695.895406534028,0,6695.895406534028
6,7257.114030198295,0,7257.114030198295
7,8701.114030198294,0,8701.114030198294
8,8701.114030198294,0,8701.114030198294
9,9751.842440386323,0,9751.842440386323
10,13557.55920458101,0,13557.55920458101
11,13743.55920458101,0,13743.55920458101
12,14291.695733805522,0,14291.695733805522
13,14291.695733805522,0,14291.695733805522
14,18318.367137499703,0,18318.367137499703
15,23084.371825892013,0,23084.371825892013
16,23438.397189856212,0,23438.397189856212
17,23926.137937157277,0,23926.137937157277
18,24233.42134424279,0,24233.42134424279
19,24233.42134424279,0,24233.42134424279
20,24386.539620189375,0,24386.539620189375
21,24386.539620189375,0,24386.539620189375
22,24991.95103818534,0,24991.95103818534
23,27060.256954702152,0,27060.256954702152
24,27854.80551210394,0,27854.80551210394
25,31043.666125212585,0,31043.666125212585
26,31382.33043503816,0,31382.33043503816
27,31382.33043503816,0,31382.33043503816
28,32691.447422273886,0,32691.447422273886
29,32997.43410827194,0,32997.43410827194
30,36921.08789644398,0,36921.08789644398
31,39514.06479237154,0,39514.06479237154
32,39514.06479237154,0,39514.06479237154
33,39816.30372994218,0,39816.30372994218
34,40365.585508386444,0,40365.585508386444
35,40631.61183362428,0,40631.61183362428
36,41290.03394488601,0,41290.03394488601
37,41793.86090942479,0,41793.86090942479
38,41793.86090942479,0,41793.86090942479
39,41793.86090942479,0,41793.86090942479
40,46308.60645907882,0,46308.60645907882
41,47120.33513566197,0,47120.33513566197
42,48496.61046500765,0,48496.61046500765
43,49359.024700233334,0,49359.024700233334
44,54287.312625505954,0,54287.312625505954
45,56565.53840242537,0,56565.53840242537
46,56767.587202629235,0,56767.587202629235
47,57204.92286694476,0,57204.92286694476
48,57961.74644542815,0,57961.74644542815
49,58314.24050131964,0,58314.24050131964
50,58314.24050131964,0,58314.24050131964
51,58699.15609555341,0,58699.15609555341
52,58873.875088961395,0,58873.875088961395
53,60923.73070659584,0,60923.73070659584
54,61055.58661030185,0,61055.58661030185
55,63650.619503817135,0,63650.619503817135
56,65174.090828024935,0,65174.090828024935
57,65174.090828024935,0,65174.090828024935
58,66201.95533562038,0,66201.95533562038
59,66387.33865177704,0,66387.33865177704
60,70003.00273813547,0,70003.00273813547
61,72487.4022474634,0,72487.4022474634
62,72644.02377062362,0,72644.02377062362
63,72853.63205738114,0,72853.63205738114
64,73340.9885265405,0,73340.9885265405
65,73693.62753029076,0,73693.62753029076
66,73693.62753029076,0,73693.62753029076
67,75072.99661171233,0,75072.99661171233
68,75072.99661171233,0,75072.99661171233
69,75573.6099115768,0,75573.6099115768
70,82349.02732570718,0,82349.02732570718
71,82898.65895449264,0,82898.65895449264
72,82898.65895449264,0,82898.65895449264
73,82981.74928468613,0,82981.74928468613
74,87312.35797978673,0,87312.35797978673
75,90525.36089621023,0,90525.36089621023
76,91031.42696489205,0,91031.42696489205
77,91737.58623724284,0,91737.58623724284
78,92342.08332397566,0,92342.08332397566
79,92342.08332397566,0,92342.08332397566
80,92342.08332397566,0,92342.08332397566
81,93058.59062319344,0,93058.59062319344
82,93058.59062319344,0,93058.59062319344
83,95499.13383458437,0,95499.13383458437
84,95782.73531944831,0,95782.73531944831
85,98827.37259965565,0,98827.37259965565
86,99329.27557787723,0,99329.27557787723
87,99329.27557787723,0,99329.27557787723
88,100413.92302284065,0,100413.92302284065
89,101478.00044474652,0,101478.00044474652
90,106365.4090182064,0,106365.4090182064
91,108570.64593656879,0,108570.64593656879
92,108734.80110511824,0,108734.80110511824
93,109588.89266550392,0,109588.89266550392
94,109588.89266550392,0,109588.89266550392
95,109588.89266550392,0,109588.89266550392
96,109588.89266550392,0,109588.89266550392
97,111482.93253623789,0,111482.93253623789
98,111482.93253623789,0,111482.93253623789
99,112237.28230879153,0,112237.28230879153
100,117235.16861047516,0,117235.16861047516
101,117235.16861047516,0,117235.16861047516
102,118366.64564895183,0,118366.64564895183
103,118758.72177604736,0,118758.72177604736
104,122765.97034966212,0,122765.97034966212
105,124412.7316032811,0,124412.7316032811
106,124412.7316032811,0,124412.7316032811
107,125759.11097370683,0,125759.11097370683
108,126696.95612541147,0,126696.95612541147
109,126696.95612541147,0,126696.95612541147
110,127286.58048450215,0,127286.58048450215
111,127508.1884710289,0,127508.1884710289
112,127780.7747425898,0,127780.7747425898
113,128747.33977100864,0,128747.33977100864
114,129877.37068604586,0,129877.37068604586
115,132010.1329607999,0,132010.1329607999
116,133328.68771320255,0,133328.68771320255
117,133610.67980528684,0,133610.67980528684
118,133903.73528012136,0,133903.73528012136
119,136104.89568609232,0,136104.89568609232
120,140209.9055361043,0,140209.9055361043
121,141123.34150580602,0,141123.34150580602
122,141123.34150580602,0,141123.34150580602
123,142757.6454310827,0,142757.6454310827
124,142955.38410753934,0,142955.38410753934
125,143278.8150612096,0,143278.8150612096
126,143278.8150612096,0,143278.8150612096
127,143278.8150612096,0,143278.8150612096
128,143910.32836958874,0,143910.32836958874
129,143910.32836958874,0,143910.32836958874
130,148214.68119229702,0,148214.68119229702
131,148214.68119229702,0,148214.68119229702
132,148642.5292578833,0,148642.5292578833
133,148642.5292578833,0,148642.5292578833
134,152967.3352960782,0,152967.3352960782
135,154017.9307328356,0,154017.9307328356
136,154407.3395813573,0,154407.3395813573
137,155783.4056525409,0,155783.4056525409
138,155783.4056525409,0,155783.4056525409
139,156073.43536405207,0,156073.43536405207
140,157038.89162264683,0,157038.89162264683
141,157038.89162264683,0,157038.89162264683
142,157038.89162264683,0,157038.89162264683
143,157038.89162264683,0,157038.89162264683
144,158666.12000085207,0,158666.12000085207
145,159789.28872821285,0,159789.28872821285
146,161885.15026928464,0,161885.15026928464
147,161885.15026928464,0,161885.15026928464
148,162412.57653711282,0,162412.57653711282
149,163724.8770952813,0,163724.8770952813
150,167846.15252053097,0,167846.15252053097
151,168226.17760694263,0,168226.17760694263
152,169455.36696955858,0,169455.36696955858
153,172050.12324595696,0,172050.12324595696
154,172184.18431732742,0,172184.18431732742
155,172313.6463551392,0,172313.6463551392
156,172313.6463551392,0,172313.6463551392
157,172313.6463551392,0,172313.6463551392
158,172313.6463551392,0,172313.6463551392
159,172313.6463551392,0,172313.6463551392
160,175690.15516139372,0,175690.15516139372
161,177578.57573314203,0,177578.57573314203
162,177870.4370800058,0,177870.4370800058
163,178576.61385911968,0,178576.61385911968
