,incomes,costs,profit
0,5310.781836781908,0,5310.781836781908
1,6650.781836781907,0,6650.781836781907
2,6650.781836781907,0,6650.781836781907
3,6650.781836781907,0,6650.781836781907
4,7030.181836781907,0,7030.181836781907
5,7218.181836781907,0,7218.181836781907
6,9668.928865740812,0,9668.928865740812
7,10467.95753222718,0,10467.95753222718
8,10602.95753222718,0,10602.95753222718
9,10602.95753222718,0,10602.95753222718
10,12839.173548335524,0,12839.173548335524
11,13132.986047938668,0,13132.986047938668
12,14812.507937062039,0,14812.507937062039
13,20104.12645215279,0,20104.12645215279
14,21772.724652772584,0,21772.724652772584
15,27965.35496728822,0,27965.35496728822
16,28338.221304304767,0,28338.221304304767
17,28538.926219681533,0,28538.926219681533
18,28892.730125714792,0,28892.730125714792
19,29043.80530170903,0,29043.80530170903
20,29043.80530170903,0,29043.80530170903
21,29043.80530170903,0,29043.80530170903
22,29043.80530170903,0,29043.80530170903
23,29043.80530170903,0,29043.80530170903
24,29382.661927157893,0,29382.661927157893
25,30757.13547641182,0,30757.13547641182
26,30861.02540993395,0,30861.02540993395
27,31965.47780068079,0,31965.47780068079
28,33502.11876964969,0,33502.11876964969
29,35600.984885807724,0,35600.984885807724
30,39765.97741568247,0,39765.97741568247
31,40235.56218843093,0,40235.56218843093
32,40235.56218843093,0,40235.56218843093
33,40235.56218843093,0,40235.56218843093
34,40559.31793112565,0,40559.31793112565
35,41309.67784257656,0,41309.67784257656
36,44436.389798417826,0,44436.389798417826
37,44918.42431891343,0,44918.42431891343
38,45064.10946761692,0,45064.10946761692
39,45064.10946761692,0,45064.10946761692
40,46998.33651998805,0,46998.33651998805
41,47501.04260329437,0,47501.04260329437
42,49617.134942101715,0,49617.134942101715
43,57412.78035580274,0,57412.78035580274
44,58192.66103869398,0,58192.66103869398
45,63870.966772821426,0,63870.966772821426
46,64576.2776298363,0,64576.2776298363
47,64576.2776298363,0,64576.2776298363
48,65397.89172874953,0,65397.89172874953
49,66218.82628267941,0,66218.82628267941
50,66218.82628267941,0,66218.82628267941
51,66382.70157171678,0,66382.70157171678
52,66382.70157171678,0,66382.70157171678
53,66382.70157171678,0,66382.70157171678
54,66619.71740026379,0,66619.71740026379
55,66619.71740026379,0,66619.71740026379
56,67992.08899596076,0,67992.08899596076
57,68172.24156400388,0,68172.24156400388
58,69917.219516425,0,69917.219516425
59,72089.72132674181,0,72089.72132674181
60,77766.35622978609,0,77766.35622978609
61,78800.68367949776,0,78800.68367949776
62,79061.22916482025,0,79061.22916482025
63,79061.22916482025,0,79061.22916482025
64,79506.55151852737,0,79506.55151852737
65,79856.35151852737,0,79856.35151852737
66,81955.66474548257,0,81955.66474548257
67,83180.52918083232,0,83180.52918083232
68,83180.52918083232,0,83180.52918083232
69,83533.86921177823,0,83533.86921177823
70,84968.28429883622,0,84968.28429883622
71,85563.68643327475,0,85563.68643327475
72,86184.40230396668,0,86184.40230396668
73,93642.36575002348,0,93642.36575002348
74,93849.39365010204,0,93849.39365010204
75,99680.54063656801,0,99680.54063656801
76,100860.7227327689,0,100860.7227327689
77,101502.84645085612,0,101502.84645085612
78,101991.87168119341,0,101991.87168119341
79,102408.27878300117,0,102408.27878300117
80,102408.27878300117,0,102408.27878300117
81,102921.35757322576,0,102921.35757322576
82,102921.35757322576,0,102921.35757322576
83,102921.35757322576,0,102921.35757322576
84,103069.98368302078,0,103069.98368302078
85,104139.24745115553,0,104139.24745115553
86,104518.40561853827,0,104518.40561853827
87,104605.96032246601,0,104605.96032246601
88,106042.57510842616,0,106042.57510842616
89,108505.81040613021,0,108505.81040613021
90,112267.5516183958,0,112267.5516183958
91,112924.76669504991,0,112924.76669504991
92,113222.54596612642,0,113222.54596612642
93,114180.93046816919,0,114180.93046816919
94,114420.05273496313,0,114420.05273496313
95,114420.05273496313,0,114420.05273496313
96,116419.83782722041,0,116419.83782722041
97,117789.74558719617,0,117789.74558719617
98,117789.74558719617,0,117789.74558719617
99,118870.86394691086,0,118870.86394691086
100,119607.48456163035,0,119607.48456163035
101,119986.22809288713,0,119986.22809288713
102,121238.16595712108,0,121238.16595712108
103,126686.0204971085,0,126686.0204971085
104,128456.03537872464,0,128456.03537872464
105,131747.29413539942,0,131747.29413539942
106,132667.14148352505,0,132667.14148352505
107,134287.1496232677,0,134287.1496232677
108,135616.18235033765,0,135616.18235033765
109,135836.17293775931,0,135836.17293775931
110,136808.37180433617,0,136808.37180433617
111,136808.37180433617,0,136808.37180433617
112,136808.37180433617,0,136808.37180433617
113,136808.37180433617,0,136808.37180433617
114,136969.97071973595,0,136969.97071973595
115,136969.97071973595,0,136969.97071973595
116,138163.22437899924,0,138163.22437899924
117,138408.59911847214,0,138408.59911847214
118,139622.09230099004,0,139622.09230099004
119,143105.86740918228,0,143105.86740918228
120,148184.34059852822,0,148184.34059852822
121,148694.23203923917,0,148694.23203923917
122,148694.23203923917,0,148694.23203923917
123,150191.04149250122,0,150191.04149250122
124,150342.26345015672,0,150342.26345015672
125,151200.8350943936,0,151200.8350943936
126,152516.66421722766,0,152516.66421722766
127,152516.66421722766,0,152516.66421722766
128,152516.66421722766,0,152516.66421722766
129,152987.80066015004,0,152987.80066015004
130,153563.9250827685,0,153563.9250827685
131,153563.9250827685,0,153563.9250827685
132,154880.66183648497,0,154880.66183648497
133,159892.71478646094,0,159892.71478646094
134,163319.20173102288,0,163319.20173102288
135,165826.13763178114,0,165826.13763178114
136,166634.58471543837,0,166634.58471543837
137,168132.69728431292,0,168132.69728431292
138,168132.69728431292,0,168132.69728431292
139,168358.44548930653,0,168358.44548930653
140,169437.21976692782,0,169437.21976692782
141,169437.21976692782,0,169437.21976692782
142,169437.21976692782,0,169437.21976692782
143,169437.21976692782,0,169437.21976692782
144,169983.79557792106,0,169983.79557792106
145,169983.79557792106,0,169983.79557792106
146,171268.55539285383,0,171268.55539285383
147,171268.55539285383,0,171268.55539285383
148,171268.55539285383,0,171268.55539285383
149,174182.123045725,0,174182.123045725
150,179480.51193748525,0,179480.51193748525
151,179877.43110705234,0,179877.43110705234
152,180489.15379582354,0,180489.15379582354
153,183693.3034046402,0,183693.3034046402
154,184119.04217558584,0,184119.04217558584
155,184771.20947294767,0,184771.20947294767
156,184771.20947294767,0,184771.20947294767
157,186155.0115348284,0,186155.0115348284
158,186155.0115348284,0,186155.0115348284
159,186155.0115348284,0,186155.0115348284
160,186544.0416862487,0,186544.0416862487
161,186859.6671516,0,186859.6671516
162,188385.76900002832,0,188385.76900002832
163,193674.30857408527,0,193674.30857408527
164,197228.47820734893,0,197228.47820734893
165,199645.66362088098,0,199645.66362088098
166,199878.24986436355,0,199878.24986436355
167,201950.75019085818,0,201950.75019085818
168,203137.52885110147,0,203137.52885110147
169,203137.52885110147,0,203137.52885110147
170,204585.86929913796,0,204585.86929913796
171,204585.86929913796,0,204585.86929913796
172,204651.35232050045,0,204651.35232050045
173,205877.69020608242,0,205877.69020608242
174,206735.49264984546,0,206735.49264984546
175,206735.49264984546,0,206735.49264984546
176,207285.73706262105,0,207285.73706262105
177,208063.8681815152,0,208063.8681815152
178,208063.8681815152,0,208063.8681815152
179,210771.28856368994,0,210771.28856368994
180,214673.73469427947,0,214673.73469427947
181,214673.73469427947,0,214673.73469427947
182,215458.81202186033,0,215458.81202186033
183,218862.93509887494,0,218862.93509887494
184,219191.2875879223,0,219191.2875879223
185,219288.82438638224,0,219288.82438638224
186,219748.53478671183,0,219748.53478671183
187,219748.53478671183,0,219748.53478671183
188,220515.08402920977,0,220515.08402920977
189,221788.6127344161,0,221788.6127344161
190,222505.727986275,0,222505.727986275
191,222505.727986275,0,222505.727986275
192,222505.727986275,0,222505.727986275
193,228492.31715767915,0,228492.31715767915
194,231503.57308541084,0,231503.57308541084
195,234265.96758077506,0,234265.96758077506
196,234265.96758077506,0,234265.96758077506
197,235390.1334932892,0,235390.1334932892
198,238021.78235777852,0,238021.78235777852
199,238021.78235777852,0,238021.78235777852
200,238612.10769084172,0,238612.10769084172
201,238612.10769084172,0,238612.10769084172
202,239736.98930767804,0,239736.98930767804
203,241003.7292012256,0,241003.7292012256
204,241611.66119585867,0,241611.66119585867
205,241611.66119585867,0,241611.66119585867
206,242049.45181485233,0,242049.45181485233
207,243877.415175685,0,243877.415175685
208,243877.415175685,0,243877.415175685
209,244498.43604150636,0,244498.43604150636
210,249272.7729487229,0,249272.7729487229
211,249272.7729487229,0,249272.7729487229
212,249272.7729487229,0,249272.7729487229
213,251851.8280219856,0,251851.8280219856
214,252381.92542210524,0,252381.92542210524
215,252477.15546340393,0,252477.15546340393
216,252477.15546340393,0,252477.15546340393
217,252848.20594847624,0,252848.20594847624
218,252848.20594847624,0,252848.20594847624
219,256600.95560937675,0,256600.95560937675
220,256896.84920596707,0,256896.84920596707
221,256896.84920596707,0,256896.84920596707
222,256896.84920596707,0,256896.84920596707
223,261300.6210151384,0,261300.6210151384
224,264397.83462063584,0,264397.83462063584
225,266762.1047837275,0,266762.1047837275
226,267111.6501626872,0,267111.6501626872
227,268393.06051423954,0,268393.06051423954
228,270372.3711087348,0,270372.3711087348
229,270989.3247790502,0,270989.3247790502
230,272194.16482392675,0,272194.16482392675
231,272194.16482392675,0,272194.16482392675
232,272194.16482392675,0,272194.16482392675
233,273062.03994855296,0,273062.03994855296
234,273670.588182351,0,273670.588182351
235,273670.588182351,0,273670.588182351
236,274233.3106682654,0,274233.3106682654
237,275283.4949775065,0,275283.4949775065
238,275909.0775587241,0,275909.0775587241
239,276904.55010227347,0,276904.55010227347
240,281564.8556685316,0,281564.8556685316
241,281564.8556685316,0,281564.8556685316
242,282299.5901771538,0,282299.5901771538
243,283681.3582823589,0,283681.3582823589
244,284443.37651894806,0,284443.37651894806
245,285174.3792920829,0,285174.3792920829
246,285174.3792920829,0,285174.3792920829
247,285794.8989178388,0,285794.8989178388
248,285794.8989178388,0,285794.8989178388
249,287078.52384515293,0,287078.52384515293
250,289600.50720958604,0,289600.50720958604
