,incomes,costs,profit
0,3018.8,0,3018.8
1,6281.8,0,6281.8
2,6494.586096117209,0,6494.586096117209
3,6786.345095004607,0,6786.345095004607
4,6786.345095004607,0,6786.345095004607
5,8515.040073816486,0,8515.040073816486
6,8515.040073816486,0,8515.040073816486
7,10336.057807030824,0,10336.057807030824
8,11043.835183793668,0,11043.835183793668
9,11043.835183793668,0,11043.835183793668
10,14991.105779782758,0,14991.105779782758
11,16613.417447734708,0,16613.417447734708
12,16672.817447734713,0,16672.817447734713
13,21288.28605536838,0,21288.28605536838
14,23178.211001721796,0,23178.211001721796
15,24150.795754507395,0,24150.795754507395
16,24821.313104180837,0,24821.313104180837
17,27894.647443656304,0,27894.647443656304
18,27894.647443656304,0,27894.647443656304
19,28496.357242505434,0,28496.357242505434
20,29162.569002035347,0,29162.569002035347
21,29162.569002035347,0,29162.569002035347
22,29524.814318403915,0,29524.814318403915
23,30945.219354983117,0,30945.219354983117
24,32879.999392832535,0,32879.999392832535
25,33223.20668827024,0,33223.20668827024
26,33223.20668827024,0,33223.20668827024
27,33658.79171781903,0,33658.79171781903
28,34092.210111503555,0,34092.210111503555
29,34092.210111503555,0,34092.210111503555
30,38617.45533062112,0,38617.45533062112
31,40566.18338996783,0,40566.18338996783
32,40865.01901331546,0,40865.01901331546
33,41417.559666790046,0,41417.559666790046
34,41637.89352765893,0,41637.89352765893
35,42751.41057380221,0,42751.41057380221
36,43371.650477723175,0,43371.650477723175
37,43371.650477723175,0,43371.650477723175
38,43734.06391775522,0,43734.06391775522
39,43734.06391775522,0,43734.06391775522
40,48137.33628566701,0,48137.33628566701
41,49027.18051109518,0,49027.18051109518
42,49934.75541145002,0,49934.75541145002
43,56031.52176510271,0,56031.52176510271
44,58336.41627228129,0,58336.41627228129
45,58336.41627228129,0,58336.41627228129
46,59040.206977152186,0,59040.206977152186
47,61060.460872661344,0,61060.460872661344
48,61060.460872661344,0,61060.460872661344
49,61578.29372287718,0,61578.29372287718
50,62411.374551733046,0,62411.374551733046
51,63030.11583935747,0,63030.11583935747
52,63681.656386499526,0,63681.656386499526
53,64605.80896417809,0,64605.80896417809
54,66718.72052375553,0,66718.72052375553
55,67045.9087016671,0,67045.9087016671
56,67381.07955208572,0,67381.07955208572
57,67381.07955208572,0,67381.07955208572
58,67765.85584455283,0,67765.85584455283
59,68128.29420844108,0,68128.29420844108
60,71960.96297880636,0,71960.96297880636
61,74654.29667618792,0,74654.29667618792
62,74898.07908789413,0,74898.07908789413
63,75148.4778081039,0,75148.4778081039
64,75148.4778081039,0,75148.4778081039
65,75875.38980816971,0,75875.38980816971
66,76642.22569629687,0,76642.22569629687
67,76908.04534143492,0,76908.04534143492
68,76908.04534143492,0,76908.04534143492
69,77544.58132571599,0,77544.58132571599
70,82690.13070587374,0,82690.13070587374
71,83696.53864410524,0,83696.53864410524
72,83696.53864410524,0,83696.53864410524
73,90233.94919706504,0,90233.94919706504
74,91817.70877522363,0,91817.70877522363
75,91817.70877522363,0,91817.70877522363
76,92396.91278100753,0,92396.91278100753
77,94410.1925631729,0,94410.1925631729
78,94410.1925631729,0,94410.1925631729
79,95167.26215138909,0,95167.26215138909
80,96277.08316846,0,96277.08316846
81,97108.52814301291,0,97108.52814301291
82,97580.79933519152,0,97580.79933519152
83,98895.93575015655,0,98895.93575015655
84,100918.55488194695,0,100918.55488194695
85,102676.63225973025,0,102676.63225973025
86,103097.0494466633,0,103097.0494466633
87,103097.0494466633,0,103097.0494466633
88,103520.58399993254,0,103520.58399993254
89,103631.13820823483,0,103631.13820823483
90,107079.38792180331,0,107079.38792180331
91,109017.14732525728,0,109017.14732525728
92,109265.96963690555,0,109265.96963690555
93,110674.58332599909,0,110674.58332599909
94,110674.58332599909,0,110674.58332599909
95,111083.30929650352,0,111083.30929650352
96,111786.59761894563,0,111786.59761894563
97,112692.78425979392,0,112692.78425979392
98,112692.78425979392,0,112692.78425979392
99,113831.59507682786,0,113831.59507682786
100,117912.48436095449,0,117912.48436095449
101,117912.48436095449,0,117912.48436095449
102,118906.27925144102,0,118906.27925144102
