,incomes,costs,profit
0,7439.999999999999,0,7439.999999999999
1,8186.999999999999,0,8186.999999999999
2,8186.999999999999,0,8186.999999999999
3,8186.999999999999,0,8186.999999999999
4,8688.969782730428,0,8688.969782730428
5,8688.969782730428,0,8688.969782730428
6,13060.78657815055,0,13060.78657815055
7,14308.151517603128,0,14308.151517603128
8,14308.151517603128,0,14308.151517603128
9,14580.151517603128,0,14580.151517603128
10,16115.126822079175,0,16115.126822079175
11,16115.126822079175,0,16115.126822079175
12,16115.126822079175,0,16115.126822079175
13,16115.126822079175,0,16115.126822079175
14,16795.409630576985,0,16795.409630576985
15,20076.086688379375,0,20076.086688379375
16,23450.593141220455,0,23450.593141220455
17,24000.612082808286,0,24000.612082808286
18,25546.453110623203,0,25546.453110623203
19,25849.89029914524,0,25849.89029914524
20,25849.89029914524,0,25849.89029914524
21,26584.203917271476,0,26584.203917271476
22,27100.67171391922,0,27100.67171391922
23,27433.676100922967,0,27433.676100922967
24,27729.077946269357,0,27729.077946269357
25,29321.221013296177,0,29321.221013296177
26,29803.908676355954,0,29803.908676355954
27,30153.70867635595,0,30153.70867635595
28,33924.89243996923,0,33924.89243996923
29,34813.55011623379,0,34813.55011623379
30,40824.54092478038,0,40824.54092478038
31,41013.594928477185,0,41013.594928477185
32,41013.594928477185,0,41013.594928477185
33,41013.594928477185,0,41013.594928477185
34,41642.67494748607,0,41642.67494748607
35,41764.874947486074,0,41764.874947486074
36,46139.188957068276,0,46139.188957068276
37,46934.98148768678,0,46934.98148768678
38,46934.98148768678,0,46934.98148768678
39,46934.98148768678,0,46934.98148768678
40,47685.0258206591,0,47685.0258206591
41,48302.94710619249,0,48302.94710619249
42,49016.57703079411,0,49016.57703079411
43,49690.43790342733,0,49690.43790342733
44,50142.26639745805,0,50142.26639745805
45,52634.63012168238,0,52634.63012168238
46,56136.8438822821,0,56136.8438822821
47,56136.8438822821,0,56136.8438822821
48,56489.011776255065,0,56489.011776255065
49,57040.650568300945,0,57040.650568300945
50,57864.06364830134,0,57864.06364830134
51,58003.00452841753,0,58003.00452841753
52,58546.122540588694,0,58546.122540588694
53,59021.815932784404,0,59021.815932784404
54,59279.97068961323,0,59279.97068961323
55,60601.2014033787,0,60601.2014033787
56,61721.71417979411,0,61721.71417979411
57,61721.71417979411,0,61721.71417979411
58,64679.777910585304,0,64679.777910585304
59,65943.88554272757,0,65943.88554272757
60,72700.29540649347,0,72700.29540649347
61,73880.03341672862,0,73880.03341672862
62,74079.66714985546,0,74079.66714985546
63,74079.66714985546,0,74079.66714985546
64,74152.33706619403,0,74152.33706619403
65,74446.49327769694,0,74446.49327769694
66,78199.29536202853,0,78199.29536202853
67,79255.84895397416,0,79255.84895397416
68,79255.84895397416,0,79255.84895397416
69,79719.45393417956,0,79719.45393417956
70,80177.70886341423,0,80177.70886341423
71,80558.69815365975,0,80558.69815365975
72,80908.49676964358,0,80908.49676964358
73,81019.11836889692,0,81019.11836889692
74,81104.14086701929,0,81104.14086701929
75,83475.22590909267,0,83475.22590909267
76,86577.3916381756,0,86577.3916381756
77,87055.42779503434,0,87055.42779503434
78,87065.19751908154,0,87065.19751908154
79,88010.74791518135,0,88010.74791518135
80,88680.34090613095,0,88680.34090613095
81,88964.42116238955,0,88964.42116238955
82,88964.42116238955,0,88964.42116238955
83,89758.43530591927,0,89758.43530591927
84,90103.91724770525,0,90103.91724770525
85,92022.8884523217,0,92022.8884523217
86,92314.31203731093,0,92314.31203731093
87,92314.31203731093,0,92314.31203731093
88,95511.25525943322,0,95511.25525943322
89,96724.68967546661,0,96724.68967546661
90,101871.40457313122,0,101871.40457313122
91,102476.27347320429,0,102476.27347320429
92,102476.27347320429,0,102476.27347320429
93,103355.09625668937,0,103355.09625668937
94,103737.2960510554,0,103737.2960510554
