,incomes,costs,profit
0,6437.451042050137,0,6437.451042050137
1,7442.451042050137,0,7442.451042050137
2,7904.451042050137,0,7904.451042050137
3,10438.291695174948,0,10438.291695174948
4,10821.929506359858,0,10821.929506359858
5,10821.929506359858,0,10821.929506359858
6,11440.529506359859,0,11440.529506359859
7,11830.529506359859,0,11830.529506359859
8,11830.529506359859,0,11830.529506359859
9,16040.764441143929,0,16040.764441143929
10,16178.890662146485,0,16178.890662146485
11,16505.207780924793,0,16505.207780924793
12,16837.250891323845,0,16837.250891323845
13,17263.856520798825,0,17263.856520798825
14,17407.300085340787,0,17407.300085340787
15,22539.133266412256,0,22539.133266412256
16,24836.032321669154,0,24836.032321669154
17,25102.01396813365,0,25102.01396813365
18,25102.01396813365,0,25102.01396813365
19,26392.8082673655,0,26392.8082673655
20,26392.8082673655,0,26392.8082673655
21,28233.62105674745,0,28233.62105674745
22,28233.62105674745,0,28233.62105674745
23,29822.020325627247,0,29822.020325627247
24,30109.02993905808,0,30109.02993905808
25,33586.260094439516,0,33586.260094439516
26,33586.260094439516,0,33586.260094439516
27,33886.131731954716,0,33886.131731954716
28,33942.61862468595,0,33942.61862468595
29,34505.04911359628,0,34505.04911359628
30,39371.88703140014,0,39371.88703140014
31,39651.88703140014,0,39651.88703140014
32,40054.589032621494,0,40054.589032621494
33,41628.10805594267,0,41628.10805594267
34,42804.53459826395,0,42804.53459826395
35,43119.388289807146,0,43119.388289807146
36,43283.06267029505,0,43283.06267029505
37,43283.06267029505,0,43283.06267029505
38,43283.06267029505,0,43283.06267029505
39,46867.40183713735,0,46867.40183713735
40,47637.301872792865,0,47637.301872792865
41,48222.840927530466,0,48222.840927530466
42,49077.973951529384,0,49077.973951529384
43,51332.9240149446,0,51332.9240149446
44,51566.839754030494,0,51566.839754030494
45,54893.960379468605,0,54893.960379468605
46,57350.39688995073,0,57350.39688995073
47,57754.465199171704,0,57754.465199171704
48,58105.599448436005,0,58105.599448436005
49,59251.42375113515,0,59251.42375113515
50,59251.42375113515,0,59251.42375113515
51,60773.785614289984,0,60773.785614289984
52,61202.19157544277,0,61202.19157544277
53,62172.29806636474,0,62172.29806636474
54,62325.681821220656,0,62325.681821220656
55,65183.27294824133,0,65183.27294824133
56,66115.96767720845,0,66115.96767720845
57,66267.85668871307,0,66267.85668871307
58,66267.85668871307,0,66267.85668871307
59,66651.42558051838,0,66651.42558051838
60,70335.0745989597,0,70335.0745989597
61,70944.09183090956,0,70944.09183090956
62,71570.98602656594,0,71570.98602656594
63,71570.98602656594,0,71570.98602656594
64,73737.74102730866,0,73737.74102730866
65,74194.0034422025,0,74194.0034422025
66,74194.0034422025,0,74194.0034422025
67,74643.40137103826,0,74643.40137103826
68,74643.40137103826,0,74643.40137103826
69,78257.80565701684,0,78257.80565701684
70,79466.71144530423,0,79466.71144530423
71,80517.99421249943,0,80517.99421249943
72,80517.99421249943,0,80517.99421249943
73,81661.86331619893,0,81661.86331619893
74,81860.37087326727,0,81860.37087326727
75,84121.74423360146,0,84121.74423360146
76,85565.42421204696,0,85565.42421204696
77,86392.80081502737,0,86392.80081502737
78,86703.76486727464,0,86703.76486727464
79,87893.00880422305,0,87893.00880422305
80,87893.00880422305,0,87893.00880422305
81,89642.66075865222,0,89642.66075865222
82,89642.66075865222,0,89642.66075865222
83,90538.56498427902,0,90538.56498427902
84,90814.57020910652,0,90814.57020910652
85,95522.57705722311,0,95522.57705722311
86,95912.62449344514,0,95912.62449344514
87,96183.36111752198,0,96183.36111752198
88,96183.36111752198,0,96183.36111752198
89,97455.77639989676,0,97455.77639989676
90,101617.58727132203,0,101617.58727132203
91,102355.54601006581,0,102355.54601006581
92,102504.93784713573,0,102504.93784713573
93,102702.1747751273,0,102702.1747751273
94,104996.21345465392,0,104996.21345465392
95,105280.82698018324,0,105280.82698018324
96,105280.82698018324,0,105280.82698018324
97,105893.68871527679,0,105893.68871527679
98,105893.68871527679,0,105893.68871527679
99,110566.36492532084,0,110566.36492532084
100,110956.86205241215,0,110956.86205241215
101,111101.20580159452,0,111101.20580159452
102,111949.9390394222,0,111949.9390394222
103,112395.2370022873,0,112395.2370022873
104,113464.06140947962,0,113464.06140947962
105,115181.12157123629,0,115181.12157123629
106,116568.11678042289,0,116568.11678042289
107,118641.04120006847,0,118641.04120006847
108,119237.31766342146,0,119237.31766342146
109,119237.31766342146,0,119237.31766342146
110,120444.09737578365,0,120444.09737578365
111,122065.4458185584,0,122065.4458185584
112,122438.97000267655,0,122438.97000267655
113,122438.97000267655,0,122438.97000267655
114,123204.00924099951,0,123204.00924099951
115,126982.82668932606,0,126982.82668932606
116,128751.98834016646,0,128751.98834016646
117,129425.90978570444,0,129425.90978570444
118,129890.59541391577,0,129890.59541391577
119,131380.3026497024,0,131380.3026497024
120,135778.3669871566,0,135778.3669871566
121,135778.3669871566,0,135778.3669871566
122,135778.3669871566,0,135778.3669871566
123,137560.987882318,0,137560.987882318
124,139021.2556171456,0,139021.2556171456
125,139507.3594286832,0,139507.3594286832
126,139507.3594286832,0,139507.3594286832
127,139507.3594286832,0,139507.3594286832
128,139507.3594286832,0,139507.3594286832
129,143049.1290361066,0,143049.1290361066
130,143523.17411663086,0,143523.17411663086
131,143815.43692585675,0,143815.43692585675
132,144424.3167086046,0,144424.3167086046
133,144621.3267000417,0,144621.3267000417
134,146434.50432250518,0,146434.50432250518
135,147367.9040800278,0,147367.9040800278
136,148940.53634673211,0,148940.53634673211
137,150719.22836007358,0,150719.22836007358
138,150719.22836007358,0,150719.22836007358
139,151079.94737597462,0,151079.94737597462
140,152988.71536791846,0,152988.71536791846
141,153523.18145514204,0,153523.18145514204
142,154733.123000392,0,154733.123000392
143,154733.123000392,0,154733.123000392
