,incomes,costs,profit
0,5515.4275728931225,0,5515.4275728931225
1,5775.634149605066,0,5775.634149605066
2,5775.634149605066,0,5775.634149605066
3,6095.596283229053,0,6095.596283229053
4,6095.596283229053,0,6095.596283229053
5,6095.596283229053,0,6095.596283229053
6,6868.261613071268,0,6868.261613071268
7,8811.679916942698,0,8811.679916942698
8,9071.6799169427,0,9071.6799169427
9,10375.588127526491,0,10375.588127526491
10,12011.379713696471,0,12011.379713696471
11,12150.379713696471,0,12150.379713696471
12,13122.887779987455,0,13122.887779987455
13,16942.34069203269,0,16942.34069203269
14,19156.216886654827,0,19156.216886654827
15,22863.437033122227,0,22863.437033122227
16,24517.81193223233,0,24517.81193223233
17,24517.81193223233,0,24517.81193223233
18,24517.81193223233,0,24517.81193223233
19,24689.71869919653,0,24689.71869919653
20,24883.863978966237,0,24883.863978966237
21,24883.863978966237,0,24883.863978966237
22,24883.863978966237,0,24883.863978966237
23,26842.72792562769,0,26842.72792562769
24,27863.693725061414,0,27863.693725061414
25,28617.667206511436,0,28617.667206511436
26,29024.867600571924,0,29024.867600571924
27,30769.092535618707,0,30769.092535618707
28,32836.7104715811,0,32836.7104715811
29,32991.07161588126,0,32991.07161588126
30,34871.84844223864,0,34871.84844223864
31,36057.36086137394,0,36057.36086137394
32,38666.14247906514,0,38666.14247906514
33,39072.90860319552,0,39072.90860319552
34,41094.34293971556,0,41094.34293971556
35,41658.60931226303,0,41658.60931226303
36,41658.60931226303,0,41658.60931226303
37,42112.42808714488,0,42112.42808714488
38,42112.42808714488,0,42112.42808714488
39,42787.60029421834,0,42787.60029421834
40,42787.60029421834,0,42787.60029421834
41,43369.11048969323,0,43369.11048969323
42,47292.157817746105,0,47292.157817746105
43,49989.1346852169,0,49989.1346852169
44,54439.625622982276,0,54439.625622982276
45,54634.22105692257,0,54634.22105692257
46,59531.68882762737,0,59531.68882762737
47,59531.68882762737,0,59531.68882762737
48,60363.23459008755,0,60363.23459008755
49,60723.64588154698,0,60723.64588154698
50,61386.213748462105,0,61386.213748462105
51,61386.213748462105,0,61386.213748462105
52,61386.213748462105,0,61386.213748462105
53,61386.213748462105,0,61386.213748462105
54,63940.90036867939,0,63940.90036867939
55,63940.90036867939,0,63940.90036867939
56,64099.89097002561,0,64099.89097002561
57,64705.3412910412,0,64705.3412910412
58,64705.3412910412,0,64705.3412910412
59,64705.3412910412,0,64705.3412910412
60,67619.13546060747,0,67619.13546060747
61,74618.52823533602,0,74618.52823533602
62,75042.28842023309,0,75042.28842023309
63,76663.54169179325,0,76663.54169179325
64,76663.54169179325,0,76663.54169179325
65,77465.4196937962,0,77465.4196937962
66,78478.90152211119,0,78478.90152211119
67,78478.90152211119,0,78478.90152211119
68,78478.90152211119,0,78478.90152211119
69,78478.90152211119,0,78478.90152211119
70,79845.316663734,0,79845.316663734
71,80654.04018263769,0,80654.04018263769
72,83775.32589073849,0,83775.32589073849
73,84259.86744133577,0,84259.86744133577
74,89513.18600061999,0,89513.18600061999
75,90100.22428754251,0,90100.22428754251
76,96895.97344266239,0,96895.97344266239
77,97387.29169059012,0,97387.29169059012
78,99779.73485178385,0,99779.73485178385
79,99779.73485178385,0,99779.73485178385
80,99962.74822756226,0,99962.74822756226
81,99962.74822756226,0,99962.74822756226
82,100486.44298580318,0,100486.44298580318
83,100486.44298580318,0,100486.44298580318
84,100816.55089235712,0,100816.55089235712
85,101858.35990475144,0,101858.35990475144
86,101858.35990475144,0,101858.35990475144
87,101970.1018579757,0,101970.1018579757
88,102380.4000731013,0,102380.4000731013
89,102380.4000731013,0,102380.4000731013
90,104797.96679387461,0,104797.96679387461
91,113461.72852095532,0,113461.72852095532
92,114324.85674863817,0,114324.85674863817
93,114324.85674863817,0,114324.85674863817
94,114324.85674863817,0,114324.85674863817
95,114897.89032677418,0,114897.89032677418
96,115020.72216477567,0,115020.72216477567
97,116065.83463601419,0,116065.83463601419
98,116361.03287691443,0,116361.03287691443
99,117979.61448368203,0,117979.61448368203
100,117979.61448368203,0,117979.61448368203
101,118546.43814014901,0,118546.43814014901
102,124780.8981974036,0,124780.8981974036
103,124780.8981974036,0,124780.8981974036
104,126336.92539297517,0,126336.92539297517
105,127891.80304533582,0,127891.80304533582
106,131123.87353882677,0,131123.87353882677
107,132316.27040055575,0,132316.27040055575
108,140180.31471405568,0,140180.31471405568
109,140607.33079183643,0,140607.33079183643
110,141878.99449899365,0,141878.99449899365
111,141878.99449899365,0,141878.99449899365
112,142261.29738294162,0,142261.29738294162
113,142668.13233143726,0,142668.13233143726
114,142668.13233143726,0,142668.13233143726
115,144074.4029005898,0,144074.4029005898
116,145435.91235030594,0,145435.91235030594
117,147676.7368307371,0,147676.7368307371
118,147676.7368307371,0,147676.7368307371
119,147676.7368307371,0,147676.7368307371
120,147676.7368307371,0,147676.7368307371
121,153591.2283115597,0,153591.2283115597
122,153591.2283115597,0,153591.2283115597
123,153825.64064793102,0,153825.64064793102
124,153825.64064793102,0,153825.64064793102
